[2025-02-10 23:03:14] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/blog/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice blog to 127.0.0.1:8011
[2025-02-10 23:03:18] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/blog/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice blog to 127.0.0.1:8011
[2025-02-10 23:04:21] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/blog/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice blog to 127.0.0.1:8011
[2025-02-10 23:04:21] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/blog/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice blog to 127.0.0.1:8011
[2025-02-10 23:04:23] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/blog/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice blog to 127.0.0.1:8011
[2025-02-10 23:04:25] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/blog/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice blog to 127.0.0.1:8011
[2025-02-10 23:04:51] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/user/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice user to 127.0.0.1:8001
[2025-02-10 23:04:54] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/user/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice user to 127.0.0.1:8002
[2025-02-10 23:04:57] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/user/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice user to 127.0.0.1:8001
[2025-02-10 23:05:04] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/user/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice user to 127.0.0.1:8002
[2025-02-10 23:05:06] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/user/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice user to 127.0.0.1:8001
[2025-02-10 23:05:08] Device: 127.0.0.1 | Method: GET | URL: /api/v1/hash/user/ | Status: 200 (Forwarded) | Message: We forward the request to the microservice user to 127.0.0.1:8002
